file,score_1_to_10,lines,ruff_issue_count,key_signals,improvement
src/tui/panels/activity_feed.py,8.2,179,0,clean_static_signals,Keep stable; preserve with tests
src/tui/panels/battle_view.py,8.2,138,0,clean_static_signals,Keep stable; preserve with tests
src/tui/panels/chat.py,7.1,1348,0,size=1348L,Split into smaller modules
src/tui/panels/code_viewer.py,7.4,850,0,size=850L,Split into smaller modules
src/tui/panels/file_tree.py,8.2,286,0,clean_static_signals,Keep stable; preserve with tests
src/tui/panels/leaderboard.py,8.2,78,0,clean_static_signals,Keep stable; preserve with tests
src/tui/themes/__init__.py,8.2,1,0,clean_static_signals,Keep stable; preserve with tests
src/tui/themes/ember.tcss,8.2,268,0,clean_static_signals,Keep stable; preserve with tests
src/tui/themes/midnight.tcss,8.2,269,0,clean_static_signals,Keep stable; preserve with tests
src/tui/themes/neon.tcss,8.2,268,0,clean_static_signals,Keep stable; preserve with tests
src/tui/themes/polar.tcss,8.2,271,0,clean_static_signals,Keep stable; preserve with tests
src/tui/themes/slate.tcss,8.2,268,0,clean_static_signals,Keep stable; preserve with tests
src/tui/widgets/__init__.py,8.2,1,0,clean_static_signals,Keep stable; preserve with tests
src/tui/widgets/active_agents_bar.py,8.2,94,0,clean_static_signals,Keep stable; preserve with tests
src/tui/widgets/annotations.py,8.2,193,0,clean_static_signals,Keep stable; preserve with tests
src/tui/widgets/arbiter_verdict_panel.py,8.2,159,0,clean_static_signals,Keep stable; preserve with tests
src/tui/widgets/architect_approval_panel.py,8.2,133,0,clean_static_signals,Keep stable; preserve with tests
src/tui/widgets/code_selector.py,8.2,242,0,clean_static_signals,Keep stable; preserve with tests
src/tui/widgets/collapsible_code.py,8.2,206,0,clean_static_signals,Keep stable; preserve with tests
src/tui/widgets/context_chips.py,8.2,235,0,clean_static_signals,Keep stable; preserve with tests
src/tui/widgets/context_menu.py,8.2,20,0,clean_static_signals,Keep stable; preserve with tests
src/tui/widgets/cost_summary.py,8.2,53,0,clean_static_signals,Keep stable; preserve with tests
src/tui/widgets/hunk_editor.py,8.2,139,0,clean_static_signals,Keep stable; preserve with tests
src/tui/widgets/menu.py,7.9,421,0,size=421L,Extract helper functions/components
src/tui/widgets/menu_bar.py,8.2,226,0,clean_static_signals,Keep stable; preserve with tests
src/tui/widgets/panel_resizer.py,8.2,146,0,clean_static_signals,Keep stable; preserve with tests
src/tui/widgets/quick_actions.py,8.2,166,0,clean_static_signals,Keep stable; preserve with tests
src/tui/widgets/status_bar.py,8.2,167,0,clean_static_signals,Keep stable; preserve with tests
src/tui/widgets/syntax_colors.py,8.2,17,0,clean_static_signals,Keep stable; preserve with tests
src/tui/widgets/task_panel.py,8.2,92,0,clean_static_signals,Keep stable; preserve with tests
src/tui/widgets/thought_block.py,8.2,57,0,clean_static_signals,Keep stable; preserve with tests
src/tui/widgets/toast.py,8.2,173,0,clean_static_signals,Keep stable; preserve with tests
test_intent.py,7.7,7,1,ruff=1; I001:1,Run formatter + lint autofix
test_mount.py,7.4,15,2,ruff=2; I001:1; F841:1,Fix correctness lint issues first | Run formatter + lint autofix
test_theme.py,7.8,15,0,clean_static_signals,Keep stable; preserve with tests
test_theme_swap.py,7.7,31,1,ruff=1; E501:1,Run formatter + lint autofix
tests/test_agent_adapters.py,7.8,58,0,clean_static_signals,Keep stable; preserve with tests
tests/test_any_model_id.py,7.8,32,0,clean_static_signals,Keep stable; preserve with tests
tests/test_app_header.py,7.8,24,0,clean_static_signals,Keep stable; preserve with tests
tests/test_architect_two_phase.py,7.8,68,0,clean_static_signals,Keep stable; preserve with tests
tests/test_auth_security.py,7.8,71,0,clean_static_signals,Keep stable; preserve with tests
tests/test_autonomous_runner.py,6.6,63,7,ruff=7; W293:5; F401:2,Fix correctness lint issues first | Run formatter + lint autofix
tests/test_chat_panel.py,7.8,91,0,clean_static_signals,Keep stable; preserve with tests
tests/test_chat_pipeline.py,7.8,73,0,clean_static_signals,Keep stable; preserve with tests
tests/test_chat_store.py,7.8,207,0,clean_static_signals,Keep stable; preserve with tests
tests/test_code_viewer.py,7.8,27,0,clean_static_signals,Keep stable; preserve with tests
tests/test_commands.py,7.8,102,0,clean_static_signals,Keep stable; preserve with tests
tests/test_config.py,7.8,50,0,clean_static_signals,Keep stable; preserve with tests
tests/test_context_menus.py,7.8,80,0,clean_static_signals,Keep stable; preserve with tests
tests/test_cost_breakdown.py,7.8,84,0,clean_static_signals,Keep stable; preserve with tests
tests/test_crash_recovery.py,7.8,77,0,clean_static_signals,Keep stable; preserve with tests
tests/test_custom_provider.py,7.8,125,0,clean_static_signals,Keep stable; preserve with tests
tests/test_dag_trace.py,7.8,112,0,clean_static_signals,Keep stable; preserve with tests
tests/test_diff_engine.py,7.8,95,0,clean_static_signals,Keep stable; preserve with tests
tests/test_e2e_pipeline.py,7.8,300,0,clean_static_signals,Keep stable; preserve with tests
tests/test_elo_tracker.py,7.8,65,0,clean_static_signals,Keep stable; preserve with tests
tests/test_failover.py,7.8,127,0,clean_static_signals,Keep stable; preserve with tests
tests/test_file_ref_security.py,7.8,77,0,clean_static_signals,Keep stable; preserve with tests
tests/test_help.py,7.8,16,0,clean_static_signals,Keep stable; preserve with tests
tests/test_key_validator.py,7.8,62,0,clean_static_signals,Keep stable; preserve with tests
tests/test_layout_persistence.py,6.9,65,0,pytest_error_path,Fix config path override contract for tests/sandbox
tests/test_logger.py,7.8,111,0,clean_static_signals,Keep stable; preserve with tests
